threshold,fpr,tpr
inf,0.0,0.0
0.8693393,0.005952380952380952,0.0
0.86161953,0.005952380952380952,0.05
0.8613954,0.011904761904761904,0.05
0.85231847,0.011904761904761904,0.25
0.8516668,0.017857142857142856,0.25
0.84030026,0.017857142857142856,0.4625
0.83990735,0.023809523809523808,0.4625
0.8393492,0.023809523809523808,0.475
0.8388094,0.02976190476190476,0.475
0.82168305,0.02976190476190476,0.6875
0.81959826,0.03571428571428571,0.6875
0.816484,0.03571428571428571,0.7
0.7958665,0.05357142857142857,0.7
0.79141074,0.05357142857142857,0.7125
0.78652483,0.06547619047619048,0.7125
0.761837,0.06547619047619048,0.7375
0.7470817,0.07142857142857142,0.7375
0.6705951,0.07142857142857142,0.8375
0.6164749,0.07738095238095238,0.8375
0.5943727,0.07738095238095238,0.85
0.41562185,0.09523809523809523,0.85
0.35013705,0.09523809523809523,0.8875
0.2879332,0.10119047619047619,0.8875
0.17846325,0.10119047619047619,0.925
0.17189746,0.1130952380952381,0.925
0.14186758,0.1130952380952381,0.9375
0.14117922,0.11904761904761904,0.9375
0.12093951,0.11904761904761904,0.95
0.10743775,0.125,0.95
0.10523018,0.125,0.9625
0.0772331,0.20833333333333334,0.9625
0.076243855,0.20833333333333334,0.975
0.07620139,0.21428571428571427,0.975
0.07538646,0.2261904761904762,0.975
0.05321463,0.3630952380952381,0.975
0.0508558,0.3630952380952381,0.9875
0.034933083,0.7857142857142857,0.9875
0.034850974,0.7857142857142857,1.0
0.020968856,1.0,1.0
