threshold,fpr,tpr
inf,0.0,0.0
0.603129,0.0,0.08333333333333333
0.51331645,0.00423728813559322,0.08333333333333333
0.5074668,0.00423728813559322,0.16666666666666666
0.37968925,0.01694915254237288,0.16666666666666666
0.35609105,0.01694915254237288,0.25
0.30595735,0.0211864406779661,0.25
0.28238338,0.0211864406779661,0.3333333333333333
0.23040189,0.025423728813559324,0.3333333333333333
0.21459663,0.025423728813559324,0.5833333333333334
0.19705805,0.03389830508474576,0.5833333333333334
0.19275019,0.03389830508474576,0.6666666666666666
0.18787782,0.0423728813559322,0.6666666666666666
0.1842508,0.0423728813559322,0.75
0.12238185,0.0847457627118644,0.75
0.11892184,0.0847457627118644,0.8333333333333334
0.0418293,0.5423728813559322,0.8333333333333334
0.04171535,0.5423728813559322,0.9166666666666666
0.040203348,0.5720338983050848,0.9166666666666666
0.039865963,0.5720338983050848,1.0
0.0124890795,1.0,1.0
