threshold,fpr,tpr
inf,0.0,0.0
0.9415558,0.0,0.01282051282051282
0.9111991,0.0,0.038461538461538464
0.91038346,0.0058823529411764705,0.038461538461538464
0.9030841,0.0058823529411764705,0.05128205128205128
0.88636774,0.011764705882352941,0.05128205128205128
0.81046516,0.011764705882352941,0.2564102564102564
0.8027641,0.023529411764705882,0.2564102564102564
0.7961994,0.023529411764705882,0.28205128205128205
0.7960941,0.029411764705882353,0.28205128205128205
0.7471919,0.029411764705882353,0.3974358974358974
0.7399883,0.041176470588235294,0.3974358974358974
0.7058884,0.041176470588235294,0.46153846153846156
0.6979119,0.052941176470588235,0.46153846153846156
0.69467986,0.052941176470588235,0.47435897435897434
0.69351315,0.058823529411764705,0.47435897435897434
0.5993536,0.058823529411764705,0.5897435897435898
0.5942872,0.06470588235294118,0.5897435897435898
0.5385353,0.06470588235294118,0.6410256410256411
0.5318325,0.07058823529411765,0.6410256410256411
0.52275366,0.07058823529411765,0.6538461538461539
0.50027835,0.09411764705882353,0.6538461538461539
0.4919017,0.09411764705882353,0.6666666666666666
0.47154933,0.1,0.6666666666666666
0.46075162,0.1,0.6794871794871795
0.41660008,0.11176470588235295,0.6794871794871795
0.416243,0.11176470588235295,0.6923076923076923
0.41170463,0.11764705882352941,0.6923076923076923
0.4017975,0.11764705882352941,0.7051282051282052
0.40064612,0.12941176470588237,0.7051282051282052
0.3909446,0.12941176470588237,0.7435897435897436
0.34499726,0.1588235294117647,0.7435897435897436
0.34216997,0.1588235294117647,0.7692307692307693
0.3132464,0.19411764705882353,0.7692307692307693
0.28055397,0.19411764705882353,0.782051282051282
0.24246685,0.2235294117647059,0.782051282051282
0.24020375,0.2235294117647059,0.7948717948717948
0.22985007,0.24705882352941178,0.7948717948717948
0.2205901,0.24705882352941178,0.8076923076923077
0.20874321,0.27058823529411763,0.8076923076923077
0.20479162,0.27058823529411763,0.8205128205128205
0.20362908,0.2823529411764706,0.8205128205128205
0.20168689,0.2823529411764706,0.8333333333333334
0.19496776,0.31176470588235294,0.8333333333333334
0.17482184,0.31176470588235294,0.8717948717948718
0.17077963,0.3235294117647059,0.8717948717948718
0.1589872,0.3235294117647059,0.8974358974358975
0.15156831,0.35294117647058826,0.8974358974358975
0.1511905,0.35294117647058826,0.9102564102564102
0.14359508,0.36470588235294116,0.9102564102564102
0.1429152,0.36470588235294116,0.9230769230769231
0.10425944,0.45294117647058824,0.9230769230769231
0.101802155,0.45294117647058824,0.9487179487179487
0.10128431,0.4588235294117647,0.9487179487179487
0.100626856,0.4588235294117647,0.9615384615384616
0.07840813,0.49411764705882355,0.9615384615384616
0.07737898,0.49411764705882355,0.9743589743589743
0.04263291,0.6941176470588235,0.9743589743589743
0.042518355,0.6941176470588235,0.9871794871794872
0.030629924,0.7588235294117647,0.9871794871794872
0.030229745,0.7588235294117647,1.0
0.0016515433,1.0,1.0
